id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.municipality,children_count.barangay,zip_codes,geo.lat,geo.lon
015515,3,Bayan,Municipality,Bugallon,Bugallon,bugallon-015515,015515,,015500,Pangasinan,Pangasinan,,,,24,,15.917,120.183
015516,3,Bayan,Municipality,Burgos,Burgos,burgos-015516,015516,,015500,Pangasinan,Pangasinan,,,,14,,16.04639,119.85667
015517,3,Bayan,Municipality,Calasiao,Calasiao,calasiao-015517,015517,,015500,Pangasinan,Pangasinan,,,,24,,16.017,120.367
015518,3,Bayan,Municipality,Dagupan City,Dagupan City,dagupan-city-015518,015518,,015500,Pangasinan,Pangasinan,,,,31,,16.03,120.33
015519,3,Bayan,Municipality,Dasol,Dasol,dasol-015519,015519,,015500,Pangasinan,Pangasinan,,,,18,,15.98972,119.88056
015520,3,Bayan,Municipality,Infanta,Infanta,infanta-015520,015520,,015500,Pangasinan,Pangasinan,,,,13,,15.817,119.9
015521,3,Bayan,Municipality,Labrador,Labrador,labrador-015521,015521,,015500,Pangasinan,Pangasinan,,,,10,,16,120.117
015522,3,Bayan,Municipality,Lingayen,Lingayen,lingayen-015522,015522,,015500,Pangasinan,Pangasinan,,,,32,,16.02,120.23083
015523,3,Bayan,Municipality,Mabini,Mabini,mabini-015523,015523,,015500,Pangasinan,Pangasinan,,,,16,,16.06972,119.94
015524,3,Bayan,Municipality,Malasiqui,Malasiqui,malasiqui-015524,015524,,015500,Pangasinan,Pangasinan,,,,73,,15.917,120.417
015525,3,Bayan,Municipality,Manaoag,Manaoag,manaoag-015525,015525,,015500,Pangasinan,Pangasinan,,,,26,,16.04389,120.48556
015526,3,Bayan,Municipality,Mangaldan,Mangaldan,mangaldan-015526,015526,,015500,Pangasinan,Pangasinan,,,,30,,16.067,120.4
015527,3,Bayan,Municipality,Mangatarem,Mangatarem,mangatarem-015527,015527,,015500,Pangasinan,Pangasinan,,,,82,,15.783,120.3
015528,3,Bayan,Municipality,Mapandan,Mapandan,mapandan-015528,015528,,015500,Pangasinan,Pangasinan,,,,15,,16.017,120.45
015529,3,Bayan,Municipality,Natividad,Natividad,natividad-015529,015529,,015500,Pangasinan,Pangasinan,,,,18,,16.05,120.817
